Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
74	-120.69899	27.022192	-77.339424	-164.99245	-128.84991	22.96649	-85.32304	-166.86574	110.0	110.0	122099	-247.94846	21.61708	-200.56992	-341.38275	-247.94812	21.61758	-200.95921	-341.83792	0.32918668	1.4926008	8.27383	-11.666073	247.2766	2.3899024	1257.603730916977
75	-125.69677	30.722979	-70.85962	-186.84877	-117.94004	21.426432	-89.072044	-148.93867	110.0	110.0	123749	-246.87346	21.839928	-199.6034	-344.4224	-246.8731	21.84044	-199.93129	-346.73438	0.33833405	1.4830682	8.879516	-8.923969	246.2126	2.392782	1270.7677624225616
76	-110.13939	25.381443	-62.95405	-143.559	-120.4713	32.330284	-73.41976	-178.34372	110.0	110.0	125399	-245.75063	21.866854	-198.28532	-343.48782	-245.75038	21.868284	-198.07886	-345.44095	0.34197652	1.4826247	8.791697	-8.974223	245.083	2.3695953	1285.9828860759735
77	-124.49499	28.020971	-73.51175	-167.53561	-110.23537	28.491573	-59.262222	-147.517	110.0	110.0	127049	-244.60439	21.90382	-197.52039	-342.95694	-244.60405	21.905174	-197.59497	-344.6231	0.33256155	1.4868888	8.08513	-8.956324	243.93254	2.396055	1301.984053850174
78	-138.1041	22.390945	-102.93522	-189.99983	-117.19049	38.89564	-55.435562	-200.36696	110.0	110.0	128699	-243.50017	22.05126	-196.28705	-345.13098	-243.49988	22.053322	-196.46179	-346.4861	0.33558708	1.4789908	9.554741	-8.828275	242.83855	2.351766	1318.323386669159
79	-129.56989	25.070549	-89.32259	-183.33986	-122.12826	30.480928	-62.312214	-171.8945	110.0	110.0	130349	-242.50568	22.281631	-194.8672	-345.5993	-242.5056	22.283855	-195.216	-346.6189	0.34725732	1.4850948	9.606379	-8.885659	241.85503	2.360096	1334.8339066505432
80	-128.01445	24.744251	-91.47004	-171.87273	-128.12318	37.80089	-80.71769	-202.29727	110.0	110.0	131999	-241.3752	22.312717	-194.385	-344.72214	-241.37494	22.31462	-194.2142	-345.4764	0.33471027	1.4865539	8.995453	-9.408262	240.7236	2.3505733	1349.3501420021057
81	-112.82956	24.873869	-79.97027	-173.3274	-107.990845	30.374344	-44.727783	-165.79451	110.0	110.0	133649	-240.16672	22.373936	-193.29248	-343.3243	-240.1664	22.376223	-193.09966	-344.70428	0.34091908	1.4761684	8.186725	-10.497538	239.52325	2.415615	1362.478886604309
82	-136.07039	23.255426	-96.83477	-187.62886	-107.21631	28.371351	-60.48555	-147.97977	110.0	110.0	135299	-238.94981	22.43896	-192.52274	-343.0712	-238.94977	22.440311	-192.28523	-343.2777	0.34101218	1.482444	8.98739	-10.405767	238.30624	2.4167676	1375.487556695938
83	-117.10962	24.89109	-82.059715	-174.18112	-120.96831	25.675823	-86.11956	-167.85095	110.0	110.0	136949	-237.86633	22.630997	-191.59367	-341.22583	-237.86586	22.632156	-191.3041	-342.89908	0.33945674	1.4715309	8.744477	-9.516185	237.22739	2.3378947	1389.2901675701141
84	-123.65925	31.577118	-82.320885	-193.25044	-127.62335	28.725813	-67.59364	-161.81523	110.0	110.0	138599	-236.5994	22.666464	-190.38968	-340.20767	-236.59924	22.668562	-190.7095	-341.58643	0.34061453	1.4768975	8.301979	-10.523502	235.96175	2.3780386	1402.953051328659
85	-130.85503	24.980782	-81.5906	-172.0123	-114.61511	27.405878	-66.2054	-146.9542	110.0	110.0	140249	-235.48291	22.78815	-189.69354	-340.97473	-235.48276	22.789242	-189.63548	-341.73926	0.33917254	1.4758581	8.856285	-8.74009	234.85547	2.4157696	1417.9030380249023
86	-134.42776	25.773567	-91.32253	-189.2117	-123.373535	32.45568	-75.274025	-185.21924	110.0	110.0	141899	-234.2366	22.726934	-188.31581	-338.0494	-234.23622	22.727922	-188.33583	-339.39453	0.32574323	1.4582114	8.834712	-9.232783	233.61221	2.3515935	1434.5904049873352
87	-131.66328	36.67861	-59.441833	-192.7522	-121.40015	22.848114	-67.1097	-143.64893	110.0	110.0	143549	-233.15594	22.789726	-186.94092	-338.45755	-233.1558	22.789486	-187.32684	-339.45862	0.33606768	1.4648718	9.066675	-11.715263	232.54102	2.348726	1451.047662973404
88	-131.92659	26.848085	-95.4219	-187.76309	-107.94206	28.76148	-57.700317	-161.63922	110.0	110.0	145199	-232.05205	22.88426	-185.39522	-337.9187	-232.05179	22.885244	-185.99008	-339.79492	0.3268558	1.4634966	8.514741	-10.771297	231.43826	2.3747656	1469.37255859375
89	-133.38641	25.17463	-93.07138	-167.96562	-110.87101	27.217344	-70.14904	-149.70656	110.0	110.0	146849	-231.12938	23.038094	-184.93437	-336.7925	-231.12904	23.038876	-185.07172	-339.18405	0.3351524	1.4749814	8.405624	-9.919488	230.51114	2.3789263	1487.5836083889008
