Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
46	-3819.7383	3561.7817	-902.9878	-14057.681	-2312.8093	1199.9308	-636.7824	-4178.4277	400.0	400.0	275999	-14240.273	6446.6924	-3555.3108	-43234.625	-14240.321	6446.528	-3536.8174	-43182.7	3.8796554	2.9410057	72.37231	-8.880797	14233.533	3229.884	2060.2473096847534
47	-2088.593	927.2579	-552.3506	-4225.1665	-2931.5552	1652.3702	-1128.842	-6792.5376	400.0	400.0	281999	-14423.368	6571.129	-3362.665	-44072.016	-14423.433	6570.916	-3357.198	-44017.215	3.858671	2.9460223	67.750854	-10.90882	14417.376	3329.45	2104.719339609146
48	-2714.0781	3153.2527	-437.8488	-13786.0205	-1892.0511	1512.0831	-426.19547	-5612.9136	400.0	400.0	287999	-14596.942	6701.612	-3228.618	-44817.445	-14596.992	6701.452	-3215.246	-44874.04	3.9100316	2.9186394	62.801888	-7.9917274	14591.069	3217.102	2149.777772665024
49	-3261.9265	1852.4417	-877.6443	-6972.8193	-2915.1252	1875.0764	-712.1378	-6349.3223	400.0	400.0	293999	-14716.001	6799.9395	-3071.5044	-45959.543	-14716.046	6799.7856	-3061.7239	-45935.457	3.894245	2.9074533	69.94897	-10.22892	14709.876	3204.498	2194.4603509902954
50	-3962.4854	4377.2104	-317.56757	-16125.14	-4602.199	3565.2158	-1242.2971	-13179.887	400.0	400.0	299999	-14880.35	6915.9673	-2961.4004	-46945.066	-14880.393	6915.8096	-2948.5063	-46903.754	3.8449233	2.8301203	69.39274	-9.855483	14874.748	3189.7734	2239.5091371536255
51	-2687.174	1776.5502	-476.51904	-5734.2305	-1901.1897	1420.0414	-55.037918	-4128.77	400.0	400.0	305999	-15095.026	7063.046	-2867.7188	-47384.688	-15095.074	7062.876	-2885.9253	-47392.973	3.8251472	2.7591121	65.99648	-8.346411	15089.981	3214.6375	2285.5835473537445
52	-4199.6973	3720.3833	-272.7832	-13233.634	-2460.6047	2931.335	-594.10205	-10025.4	400.0	400.0	311999	-15272.296	7178.1177	-2774.5432	-48151.812	-15272.348	7177.966	-2821.8186	-48122.03	3.8734028	2.8391042	67.25679	-10.551033	15267.056	3189.2114	2329.14346075058
53	-3669.1172	3422.7434	-479.7313	-13588.875	-2456.4766	1303.5989	-751.7036	-4486.736	400.0	400.0	317999	-15488.196	7301.55	-2706.4617	-48701.875	-15488.24	7301.396	-2764.6294	-48700.14	3.8841605	2.7749968	60.465004	-9.843161	15482.485	3205.4353	2373.1689870357513
54	-2628.7627	1903.359	-503.7921	-6776.4204	-2061.2466	1093.3666	-111.71822	-4025.3477	400.0	400.0	323999	-15624.362	7395.406	-2645.2468	-49261.72	-15624.402	7395.2617	-2706.637	-49288.348	3.8713696	2.7853646	67.50991	-8.411912	15619.024	3204.425	2418.8327610492706
55	-3173.921	2886.901	-224.77911	-9754.499	-2048.9338	2609.9128	-455.8704	-9538.184	400.0	400.0	329999	-15772.384	7519.3467	-2531.755	-49962.605	-15772.394	7519.2676	-2590.8125	-50022.08	3.9288397	2.820044	68.06228	-9.599335	15766.376	3206.2866	2464.7600367069244
56	-1606.8628	826.16205	-396.7077	-3752.0374	-2603.869	1521.9939	-666.79297	-5698.911	400.0	400.0	335999	-15895.57	7583.848	-2402.8174	-50318.758	-15895.606	7583.7256	-2450.4983	-50442.37	3.8453763	2.718705	58.64354	-9.635326	15889.974	3280.584	2509.008047580719
57	-1969.8113	925.13763	-703.96344	-3780.4922	-4436.882	2852.7356	-584.7289	-8788.57	400.0	400.0	341999	-16089.409	7699.774	-2247.2998	-50438.57	-16089.458	7699.6255	-2288.954	-50468.242	3.8159583	2.7425408	68.33778	-10.383439	16083.774	3266.1267	2553.7823927402496
58	-3388.3738	3013.1387	-331.32538	-10635.334	-1756.3474	859.31995	-669.7078	-3729.7583	400.0	400.0	347999	-16224.862	7792.8857	-2128.841	-51256.96	-16224.897	7792.7524	-2156.7078	-51252.77	3.8385262	2.7612078	74.26616	-13.882008	16219.47	3231.816	2599.471465110779
59	-3726.5076	2689.1335	-1203.5571	-10963.687	-2742.5605	2236.7773	-214.47632	-6987.561	400.0	400.0	353999	-16414.234	7933.6646	-2032.806	-51750.574	-16414.27	7933.5483	-1954.0382	-51783.188	3.85483	2.736473	59.494186	-9.698963	16409.027	3349.9966	2643.8548810482025
60	-1887.3727	1582.929	-213.32047	-5473.0073	-2361.978	1743.543	-290.82632	-5088.7803	400.0	400.0	359999	-16530.43	8066.9614	-1866.5894	-52499.387	-16530.447	8066.8813	-1894.6049	-52519.168	3.8709683	2.7214432	64.08869	-9.532775	16525.14	3369.008	2688.340248823166
61	-3321.702	2487.953	-212.7268	-9724.442	-3247.2827	2627.0266	-869.74457	-10359.438	400.0	400.0	365999	-16788.303	8245.983	-1793.8479	-52750.715	-16788.326	8245.894	-1783.7485	-52620.727	3.8444889	2.696603	71.476006	-12.438671	16783.197	3447.455	2733.986353635788
62	-2417.5376	1587.9982	-374.23712	-6088.818	-2800.3252	1745.1832	-181.34843	-5881.0737	400.0	400.0	371999	-16935.668	8376.137	-1637.0106	-53599.875	-16935.693	8376.046	-1668.2546	-53593.117	3.8898025	2.7316937	65.72701	-13.976241	16930.178	3529.5374	2776.924690246582
63	-3092.8196	2427.8562	-227.26723	-9158.394	-5377.628	4726.8486	-1560.3087	-18347.965	400.0	400.0	377999	-17099.328	8503.736	-1552.3276	-53930.332	-17099.326	8503.706	-1510.8461	-53794.926	3.886557	2.696563	70.015045	-9.800736	17093.654	3544.856	2823.3326234817505
