Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
58	-786.43243	624.9181	-134.02106	-2429.6792	-768.8924	418.08475	-260.03394	-1700.5078	110.0	110.0	95699	-278.66147	461.85187	668.8776	-2990.8186	-278.6655	461.77972	667.80725	-2955.994	4.087609	2.924283	37.32416	-7.5206637	272.06128	2558.6084	1268.0019059181213
59	-811.68414	349.2801	-234.53172	-1640.5219	-515.7835	217.76997	-226.00354	-892.7769	110.0	110.0	97349	-308.93207	443.51407	561.2844	-3061.388	-308.94064	443.48276	536.15314	-2992.42	4.110428	2.9585629	48.36421	-11.369921	301.98093	2532.7737	1291.6498446464539
60	-606.7803	286.5509	-228.09071	-1094.6322	-912.67706	541.9669	-307.44357	-2306.9773	110.0	110.0	98999	-277.96964	411.34198	531.4313	-3015.668	-277.97726	411.3772	533.9329	-3001.5068	4.0794635	2.9173996	43.75366	-6.942754	271.30368	2472.9749	1316.056580543518
61	-767.39496	591.0378	-70.596466	-2131.9248	-724.4956	337.88425	-247.01605	-1408.6244	110.0	110.0	100649	-299.02	389.20526	496.72763	-2801.3772	-299.02487	389.16357	475.8878	-2712.2795	4.0514336	2.8742695	42.53745	-8.209532	292.73785	2391.515	1339.8129341602325
62	-822.7849	369.0584	-361.46014	-1778.8948	-912.5104	417.1959	-336.39636	-1715.5918	110.0	110.0	102299	-294.0224	394.45883	508.68097	-2814.8564	-294.01492	394.49475	500.6831	-2667.4463	4.036836	2.839932	32.44953	-11.096369	287.5679	2402.7917	1363.4885506629944
63	-988.38293	517.447	-199.31061	-2371.3535	-803.67883	392.4426	-372.8861	-1689.3813	110.0	110.0	103949	-271.6832	396.01706	492.7456	-2764.0576	-271.68732	396.005	504.84537	-2749.0703	4.0251527	2.8274748	33.37181	-10.055726	265.4319	2399.1267	1387.3466715812683
64	-819.0214	418.47192	-176.17078	-1605.1011	-1288.448	825.69366	-250.23056	-2918.8738	110.0	110.0	105599	-289.58798	386.458	455.8368	-2667.8599	-289.57605	386.46207	470.5024	-2694.5054	3.99655	2.7904315	33.824608	-10.1065645	283.39145	2427.5159	1411.1479907035828
65	-975.07715	674.6752	-212.64723	-2684.287	-840.1948	402.4059	-145.93666	-1496.1357	110.0	110.0	107249	-244.11244	382.5608	541.1221	-2578.3975	-244.11674	382.48315	508.26266	-2627.319	4.0928392	2.9321046	39.372955	-9.690446	237.25826	2367.2983	1434.808100938797
66	-762.6292	398.71484	-251.31264	-1619.2137	-862.8799	563.20166	-304.46252	-2186.941	110.0	110.0	108899	-258.13806	380.3729	579.53796	-2645.3982	-258.14236	380.34146	544.46423	-2750.4885	3.9851382	2.8357975	37.8069	-8.227353	252.21909	2362.105	1458.2969467639923
67	-1008.85754	518.66675	-380.4903	-2052.5745	-964.0509	321.77515	-438.44104	-1550.3331	110.0	110.0	110549	-324.9854	381.9259	515.6881	-2697.309	-324.98096	381.85266	505.32544	-2728.862	3.89684	2.7165596	31.907558	-8.751356	319.6544	2221.1963	1481.8846356868744
68	-768.0402	422.9881	-60.27529	-1717.3373	-917.20245	334.44016	-502.37442	-1526.4362	110.0	110.0	112199	-309.1031	384.51242	541.7842	-2803.7864	-309.09613	384.51578	534.88275	-2832.6418	3.9107966	2.7484932	35.081486	-12.002077	303.23495	2234.2124	1505.4574136734009
69	-931.8979	500.858	-392.20734	-2068.5557	-667.4686	373.19696	-108.40584	-1342.3474	110.0	110.0	113849	-276.5687	373.23166	534.5159	-2769.6982	-276.58148	373.31354	518.4912	-2761.6162	3.8782537	2.733423	40.073586	-8.211116	270.8748	2171.3674	1529.4169783592224
70	-769.9754	471.47272	-74.92706	-1642.0779	-616.39905	228.33694	-219.76805	-964.35767	110.0	110.0	115499	-279.25632	367.10043	509.0457	-2890.6357	-279.25565	367.11688	495.9002	-2882.8005	3.8960738	2.7672408	33.534626	-8.400707	273.3563	2170.334	1553.777936220169
71	-866.2569	449.59918	-332.3022	-2020.0435	-875.12744	457.14197	-339.56314	-1704.2429	110.0	110.0	117149	-247.33781	356.40292	483.37326	-2705.8176	-247.32843	356.45856	473.5143	-2714.145	3.8884473	2.798789	40.320805	-9.160078	241.48422	2103.5178	1579.027532339096
72	-912.64105	524.8531	-135.37534	-2069.8687	-1029.7482	507.93372	-357.5559	-2334.215	110.0	110.0	118799	-258.0103	359.58826	441.5964	-2729.9565	-258.0222	359.63644	458.80756	-2576.4653	3.9435823	2.8109584	40.59819	-11.118638	252.22298	2118.481	1603.2932696342468
73	-854.01434	447.52557	-149.96957	-1732.421	-949.7031	464.6668	-328.53006	-1794.8312	110.0	110.0	120449	-235.30655	349.71915	541.88513	-2785.5603	-235.30371	349.70004	516.0668	-2608.165	3.9349372	2.837276	32.1959	-7.335586	229.29803	2079.91	1628.02605509758
74	-961.6285	466.5058	-260.03015	-1868.435	-1042.0564	880.04285	-206.50452	-3178.6477	110.0	110.0	122099	-230.0539	350.05093	537.4487	-2831.0706	-230.0572	349.9567	537.8652	-2723.3574	3.9034126	2.7606938	34.203903	-7.58697	224.31479	2081.118	1652.6115565299988
